hotel_id,hotel_category,hotel_name_length,hotel_description_length,hotel_photos_qty
810b9a68b83c3759e64c8056caed5757,36,53.0,1291.0,2.0
bbaa0305d2fbc605dc430e77af9e7759,32,60.0,402.0,2.0
bcb57d9db7838bac5cd092bf5d2084df,38,51.0,427.0,2.0
4a9f03fea7c3937dd62d1d0287efdeb3,19,58.0,1252.0,1.0
bb6b0bf03daaedab1236979e2961065d,33,49.0,488.0,3.0
0a2ae3bca9e3a947dd756d0d826eba8e,10,50.0,423.0,4.0
d145cc00519283cf3100477b2b3f8f6f,69,47.0,956.0,1.0
d3739ecfc37de8927dd586c4e04ffb7d,33,59.0,144.0,1.0
2a255c504191445d3936555a2f528d7b,7,51.0,1069.0,1.0
f92a33040ab4e2540355a5d822937a73,71,50.0,554.0,3.0
da0290904ffbbcd5953c76f95dc21247,33,41.0,92.0,1.0
84b2899ae87ddc54767b9020ce7adcc3,33,43.0,198.0,2.0
2b1f7f401d8d9dda962bb870bfc1d1c6,69,50.0,255.0,2.0
b11d57a967209219a86fef6d87bb6c2e,17,33.0,200.0,1.0
0f783acd6e3d94ba4ee2a1e5428c428e,39,55.0,1067.0,1.0
897195e2be145945dc94080f9219044d,73,60.0,1543.0,6.0
de54e1e4561df147683d0389f20b3d11,16,55.0,1441.0,1.0
36820c248d3f98d7229bb143e9b58f14,29,56.0,489.0,2.0
7b35ef22fc8312bfe1b575c38b4c88fc,19,57.0,992.0,3.0
786a852ad3d5a8ad268556702ebb73d3,20,54.0,339.0,1.0
131926ec14d4c9f3ef03016b24a3a03c,14,54.0,463.0,1.0
2265ae1eea38f46ffe3eade586ebb602,7,40.0,1469.0,3.0
e86b4556b99989513ddf73278b3c6462,45,58.0,587.0,3.0
71aee696f4733340bc2fdd00d0096431,65,52.0,150.0,1.0
30cf34043d1c40d6114cbd11b5be1be3,29,51.0,484.0,1.0
b6fcacc1b187a71e5074199db2d07f01,63,39.0,430.0,1.0
69a42f8ae1d908c076f547b275b4372e,7,22.0,1313.0,1.0
19941a50f57371b1dc93d3569d4374a9,7,37.0,1168.0,1.0
279b160bc0179385ed1a3c95dc653d9a,28,39.0,1146.0,1.0
bfa68ea7d5e22d478b0992c6cba95a13,17,42.0,671.0,1.0
e0011ee7682fef9dc9b1eae565a61935,65,49.0,460.0,2.0
4b0f4817b3c233094fc162734390ee30,37,59.0,2367.0,3.0
493045726807808d7abbab632ee3f4e2,28,54.0,381.0,2.0
9623d0355dc5d7796d857ac2367eda4f,28,50.0,607.0,1.0
ef9e077a0da9ada273857f34b85142d1,6,59.0,1750.0,3.0
f9ec8c5691f37ccb83187386c478b1bb,2,55.0,163.0,2.0
20c38b90a8af8e7f70fd789264f9ecf4,69,43.0,101.0,1.0
9dcb444b46caafdcdd3683a6a0247ced,7,60.0,2497.0,1.0
65c12bc6749d3a2f757adf591c625cb2,7,60.0,1146.0,6.0
98b664b26e3224c79dbf435191f3e0f3,69,57.0,900.0,4.0
07d92518a1f8b79240a7064c8f1a52b4,38,49.0,319.0,1.0
05fca813272caf59c432153949eaf160,6,55.0,1186.0,2.0
f3552ba3305c1cf0a4dde50347fe6a1f,73,58.0,703.0,6.0
c732027a2af3187b031890933dd8a405,73,50.0,361.0,1.0
5e28428cdae952a1fd7f2ce94e3c4114,29,58.0,899.0,2.0
616df6efb39a48f3c64eea9743f0f8de,28,49.0,701.0,1.0
5e87149457c4c5177b0a474a9ba6ddc9,6,47.0,1405.0,3.0
0aebb8ee4df32348b42e2ba2e2851eae,2,59.0,504.0,3.0
298037716bf60c0ad0df3a723f62c36c,29,57.0,276.0,4.0
bc07e278151da072ed2b2b3503e675ab,6,46.0,287.0,1.0
09e2b88d3ed40c580ec18c01e09509a5,18,46.0,1039.0,1.0
6c76fab66334f36de622ecbd3aa41e35,,,,
ed9b92e788262ad710c33bd0e7cad5e8,69,56.0,663.0,4.0
27119fb2b71be168fcac33d78b972602,28,39.0,170.0,1.0
b847e7ab93fa1510e7ee8fd6f481db77,45,53.0,794.0,4.0
89008edcb996cfe4e3d062b62a867bea,11,56.0,414.0,1.0
28363545a5bf0ca5e226eee8e86cbab0,59,36.0,312.0,2.0
61a27e0f06c36ef82f457dc12b64bf08,69,53.0,425.0,1.0
bb0ff432bfff7d829b99466f0169f259,16,58.0,918.0,6.0
36ba8302906df7e11ff908751b6f3b81,14,36.0,617.0,1.0
916840503fdf50808ebcb2be2be0a6a5,11,41.0,270.0,1.0
78f79c8e5c7b0afbd48efa775719397f,6,22.0,275.0,1.0
e09baee5f5c0513ff37bc60ab9e87e3e,28,58.0,381.0,2.0
132a5aed003d98e459b37698a0abcee0,28,58.0,223.0,1.0
a740af7b4dcfb79c137f6308ba4057a6,38,63.0,1930.0,9.0
05c9cad041e09add2a26d681eb4a9aee,36,51.0,244.0,1.0
fb171b4877c124f965b1f68da90b37f0,65,56.0,733.0,3.0
78ffb66cb6eee87eebbf54519712a72a,69,52.0,1049.0,3.0
39f4e09e048ffbc5b28db49ac5fb7fbe,3,51.0,1212.0,1.0
cc8a7651896df8c30884200e9af17b05,12,30.0,547.0,1.0
39713ee81ee2c5bcb558cf86655ec10b,71,53.0,1398.0,1.0
fe582c5b7ffff586506de83f01c190c4,6,34.0,160.0,1.0
6805b5bc4ada9ef510b11bf908df9919,69,57.0,245.0,2.0
5a895724330c4acddd581b02bac5bae8,38,50.0,1254.0,2.0
6d075997acef1870e9bd8dee61c2034d,,,,
b731d27276bbf52082cbaff83e2c00a2,72,59.0,1431.0,6.0
3e3857eebf3ca2538d1aad67f7468294,28,53.0,261.0,2.0
08b25ef78fcdf76fbf081e12f1836c1f,17,60.0,884.0,1.0
19d5c71c7a85ae488cb0a6aacd427ee1,71,52.0,68.0,7.0
283fa638d570bd0731860cf4effb6947,18,30.0,410.0,4.0
00ad9d25a73b7fbbc751fed4afb1b41d,15,48.0,303.0,3.0
2b336261572a5a7e25a33795bb09cce5,11,59.0,943.0,1.0
ab3b8dc61356673682565a6462e42e05,36,49.0,540.0,4.0
7b5117f0dbd6744b50f2396540fbfac2,28,53.0,222.0,1.0
042448105a71d0b41ecbc96b70d1bd3a,15,56.0,235.0,1.0
14603d80515e20908c156ceb47b0075c,69,50.0,329.0,2.0
92034010a4e00360fb0df0995a42f73d,69,55.0,144.0,1.0
b852a3b0152b6b384c4e4474ba2bcd58,19,59.0,797.0,2.0
7da2879f0ef3be9a219e2bfb0bdbcea7,15,53.0,439.0,5.0
44e9aca16fbec51c6c997aa087fb2200,29,60.0,438.0,2.0
778a416389aafd0dee1cb11484bf1dff,10,55.0,852.0,1.0
cd51f19eb9f7dae4d161756139431d72,,,,
f4fdedbf24fa67fa9f1323cef8174403,18,39.0,805.0,3.0
8ff9ab28e9e7b4bfe97ab003938452c9,59,52.0,420.0,2.0
23c52855385c89f0bae88d6cb00151d4,73,58.0,386.0,1.0
01b00f95e3c6118738b293dfab358773,31,50.0,273.0,1.0
471ff5ab3752414baf78111e0bbe6292,29,43.0,572.0,2.0
d259ee6054e0dadd66c8e2be0b6dd768,28,52.0,700.0,2.0
4118969f4dc49f7a717605fc2edee55f,73,47.0,1548.0,3.0
e7d1791bfb3c1b2f278b521fddf2c8a7,69,55.0,448.0,1.0
663ced748f324108c73346b48281eb6d,,,,
4f1a8206a7e51c9a741a09d9edb7e680,10,51.0,410.0,2.0
02c11acde1c320fe27850556c6304435,7,59.0,257.0,1.0
5f5d7e8038fa6aab0e6288d2c501ec76,7,51.0,863.0,1.0
17907e21734449c091420bf5722fb67c,11,29.0,290.0,1.0
8ac743a1c31e46293743b6d9e46e1e6b,17,31.0,680.0,1.0
a7583189e63f2fa4f060b2691ffe365a,69,57.0,785.0,4.0
fd70fce29095ced5cdc89f4ce3014e35,38,51.0,244.0,1.0
c32881790ef9af9b4c670f8e869d449c,50,50.0,2220.0,1.0
aaee5c9a683f2266c088f720a1b3a75a,29,53.0,599.0,2.0
c98d9b14e110133eb37fdbc1ecf5fdf5,69,57.0,649.0,1.0
0645c1eed4ed1cd8e17a15b3d40f375c,71,30.0,401.0,3.0
397efa955b102a52ee7ec5531c1cf39a,73,35.0,907.0,3.0
ba8761bc985b968a0092f9471562478e,11,38.0,390.0,1.0
aec25f3d76757fa16d9d3e96bac5656e,16,55.0,918.0,6.0
e456b922e56fbb4b3818aa87516b06ed,71,48.0,382.0,5.0
269c6296fc758c0a086c7147724cd430,11,32.0,42.0,1.0
7395d5b136d49fcdce13dfdbb399a8be,2,47.0,764.0,1.0
1fbd7bf78ce79910c09fb892abbed46d,69,52.0,406.0,1.0
8cd7cae60052319cebf235d458378a17,33,50.0,198.0,2.0
3adf57df745ecbc8afeec22659636393,69,50.0,853.0,1.0
3e5c65952b074ef987fa5c246624473f,38,59.0,776.0,6.0
bee9b2a30b83f92d786f6de8c9faf6aa,27,50.0,2913.0,3.0
e25a92fef6176120a67fac78e71b24c3,2,53.0,585.0,1.0
32935d7c1901682e5b6cc076c2828fe0,65,48.0,1063.0,2.0
a282608c5627fb32e22724727fc19502,10,47.0,181.0,1.0
f77b4e22b328b41576df473738565b52,26,42.0,369.0,1.0
8a63247a108a4d9cedf020657491063e,10,25.0,274.0,1.0
885de714453e4fac616e2a388f2043ca,38,50.0,744.0,1.0
8f41a6c2e5543cc034e94f5ce5b4c601,17,44.0,2395.0,1.0
71d5cfafedb80a8177a692b5a85543a3,11,59.0,470.0,2.0
765a6f2bed3bc272c61e6b017e0d95d8,55,39.0,422.0,1.0
72afff32795290f2df6507f063c6d14f,36,59.0,413.0,3.0
3ca888fe027b18dfac89a28466775b43,35,37.0,374.0,1.0
4b83c7ad033592870b2b309aa70106d1,11,22.0,388.0,3.0
8a45dd96a59af81dd3fef42fe4aefc7e,73,59.0,162.0,1.0
4a318be6550b1aeab938bf2a04cf1293,32,59.0,605.0,5.0
66a5b191651e1561be2224703229a7c9,69,52.0,234.0,4.0
5d954e911f443fb1cc443724b2773159,20,57.0,272.0,1.0
c43ef4b364bbe360eab29ca3d3127057,7,55.0,1029.0,1.0
5cab5d33e770d8150a4ee6117db5e21d,29,60.0,312.0,4.0
48294e69fc23f513dfbe9855610b8b7d,6,60.0,1068.0,3.0
e84f03af17733b10362f1002068bfdbf,6,63.0,244.0,4.0
672f5e586bb132eae95fb61f482620cb,,,,
62ce0a844f3f694dc08e1a5bc1334f17,28,48.0,645.0,1.0
123e9085dcc9c2f833efded6374701ff,19,50.0,268.0,5.0
f5002c0a2158a478cc5a096c73b499a2,11,43.0,2148.0,2.0
2436b96cde4f4025ed5f2542f14eda41,69,47.0,154.0,3.0
18289f809be899ddfb4c47969dd948e9,33,48.0,501.0,1.0
4db477145815362608446295cf6f689d,33,59.0,209.0,1.0
5c66173c2b377f3e449e33abc6d280c0,10,59.0,640.0,1.0
ebe1c56992acbbd7fc4a96de21ccfb22,12,58.0,655.0,5.0
af9ba1f3c097561b77ac45a1de8cdb00,28,55.0,315.0,2.0
d1307a6c9aab9aca8584e761b37262eb,14,52.0,1290.0,3.0
c5b07f1d83406ade1e504869307f7e7d,10,58.0,443.0,2.0
ce4cf2411747ea1cfecad5a458d8bb6a,18,55.0,224.0,2.0
e8e7fc562ec9890e7721db47f6493b06,2,50.0,281.0,4.0
cca448e5b0deb6e5290baf4d705aa95c,28,57.0,74.0,1.0
e3ea6702077398be06cbbaef2eadf31f,65,45.0,1003.0,2.0
1e5d185455013606a6e2cd3fc3d63778,35,32.0,1274.0,1.0
98c6505a72b1bcf363f3d3f8821d325f,10,57.0,1532.0,2.0
7a0c12d28003c97608dfe605f6691c7e,40,47.0,1026.0,2.0
5546392ec3b8a20c6590c4d400c61580,14,54.0,261.0,6.0
07fea24064f7ab2b144fbf8c6e9c52b4,18,56.0,1395.0,7.0
e9343cad06f34d0a7a09eeac4d7e07f6,7,60.0,537.0,1.0
cfc623f11f5457db1080fc21f90a43fd,29,55.0,457.0,2.0
8028ea326352e901a8b729a79cafef10,28,60.0,609.0,2.0
33bc94bef9c728611320d559e7dd783a,7,52.0,1113.0,1.0
072e2a07b6317c7edbec019a7e1feb42,10,48.0,135.0,1.0
f503b9ceeeee60b717b11ec3620424e1,11,57.0,1298.0,1.0
0b101b114960e572d2181f795ed17318,36,43.0,215.0,1.0
dcf4958b8c9b3dac6898094b40a75445,69,29.0,1318.0,1.0
542c3c62682f23305214eaeaa24fff0a,33,23.0,146.0,3.0
e6e21591c1dc83cb75aec0721419fbb5,16,59.0,1582.0,1.0
8fd15a66dc8779d47241d801448d8cf4,29,47.0,687.0,1.0
5683c8e93f314d0f2bf40d07761d1fbb,28,53.0,155.0,2.0
8c51e114a343625b628dd4294e7f36f2,19,42.0,727.0,1.0
5b92cf03510e6cf5ce58bef3ad35aed4,69,54.0,3830.0,1.0
e415f5b98a1cf4a8690532d7f19b8005,11,58.0,172.0,1.0
6051c5b3f97156b0848aaedb7e30007f,72,32.0,195.0,1.0
b389290cf5828a1db62c752f2bc46ad4,7,40.0,654.0,1.0
49f2433076d70a5b1c004eb472077004,15,44.0,421.0,1.0
34a5ddf28460ba9222582dfc3697c5f8,71,59.0,251.0,1.0
7ecea5f93a008ebfa94a15c54910b828,28,41.0,242.0,1.0
60173ec59f5b168cbd55d70ecaae0020,73,51.0,1741.0,1.0
c8795e21ac42efcc7619e48435521202,2,31.0,432.0,1.0
8df0071849d01b39834ff46c38446000,69,53.0,527.0,2.0
123977ffa0dda91a2962c9e84fe53f6c,6,51.0,1442.0,1.0
61b0e94e6426cba2598ad9e7aeb83cae,11,55.0,471.0,2.0
f1451c8c44932c5d223fc23ad64a8ee1,26,40.0,338.0,1.0
8160da97891c2fdcbc35f0f031de1075,,,,
bc505f2eca720502c209988ddccef777,31,56.0,173.0,1.0
cca0b4862cae6479c5d9e6fab6be875a,17,49.0,192.0,1.0
a2ed178bd217097b41f125184e1b9c6b,21,50.0,859.0,1.0
5dad77a797cf2193ead6afbe10793c28,11,53.0,524.0,1.0
daf78a4885f3c5385a1ba7948f3aa31c,10,29.0,566.0,2.0
5d77a8571a0646e8c0f75f572f46a61a,7,53.0,1368.0,6.0
fd3da1962ec91913e54ba80e40b1ed4c,35,52.0,424.0,1.0
8abcd2f6c7866f9429b19862de8789bf,14,50.0,852.0,1.0
e4cda2c67c1ce5b981d394d30215872b,69,37.0,621.0,5.0
16945ef449aa81212d5139945ec9181a,18,58.0,1261.0,3.0
70631b7deedd0891b1b7abb166907a57,11,57.0,1094.0,1.0
d2f74f9dee8126ef79302a19dacdbb5e,18,64.0,882.0,5.0
a0d7f863e0644077cb5d8f80df1fb2c1,50,41.0,2261.0,1.0
41f41b99d2f070fab54b458a4a40a179,36,28.0,453.0,1.0
253d07ca86525bb23816298190f6a2c3,35,25.0,813.0,1.0
b7576a8f0f6fbc2ae2b58a18a23a783f,7,59.0,822.0,1.0
d9aaddfd2312a6a5fe9b3ddadd3e2c3e,10,53.0,579.0,1.0
fa8dafbe6cd6c638cc6756771c808620,69,58.0,568.0,4.0
428725aa16b8b9a6fbd72ca25cdef5b1,64,58.0,1058.0,1.0
015ba992bd76d9d76c7a1bf559ac1eab,2,32.0,1074.0,2.0
33180834cc026584031632602043b827,50,46.0,1193.0,2.0
11b3331c334b7053fe13eca3036ef7ba,38,51.0,443.0,1.0
cc75289cb6cbe589de6c6b75ce117b8f,34,27.0,1217.0,1.0
9eac81e85ec43ed71064cf7ce23ab7bb,28,55.0,613.0,1.0
35d3c5ca21cd60cee6e5cfe07a11fd4f,32,54.0,404.0,4.0
a709d07b86f5ccf15043c6d678119fbf,19,43.0,447.0,2.0
7f16bf15e75c7db067c9138555a5066b,67,57.0,919.0,6.0
7c5de483a1232238101ec5373950b787,69,42.0,2819.0,1.0
052079a3bffcd12c5ecfb34607082301,11,57.0,623.0,4.0
64ce2bef8363b89f4719bbff74ceab03,28,57.0,296.0,1.0
894880831f6f28d5ac212d036fc9fe02,1,51.0,1006.0,3.0
0ce448d4136349dc0a43c883b9d3fd2d,28,49.0,153.0,1.0
6213edc063889593a2475e3698d0e0ca,73,55.0,978.0,1.0
c60e3321c708c1dcac3f2c1df0fc307e,28,42.0,431.0,1.0
b06e1eeea144fb83f19622d3b263cd40,18,19.0,200.0,1.0
f93b25e5a517f05b1af31d353f15cd31,10,55.0,1475.0,1.0
8642f7be9437dec9034c1cd770167028,65,48.0,606.0,2.0
62e217f433e0bbdc52e0b19f35194030,15,25.0,211.0,1.0
50e75dae423136954b0f37dffde04764,73,60.0,1023.0,5.0
ccc5545b1ff6629de8fb021d68bd4ded,2,53.0,813.0,4.0
69bafff0157f574aae9a147a8c1e4c0d,6,49.0,607.0,1.0
3c2a645abbda76af2a993b6b4ab44d1f,29,54.0,364.0,1.0
fa843da04bf9c9d23c312fd19d6968c8,73,53.0,1373.0,4.0
130136bcf8988bc973d90de984954e2e,37,40.0,234.0,1.0
bd87c359e44f5dca5a90edc6336fa91f,69,39.0,772.0,1.0
4de1dd5ea21851f94062d10abea50659,7,60.0,876.0,1.0
8c9b828e1302a2cad437b80a4bae12e5,15,47.0,358.0,3.0
2a7b6b832f11769613aba0932cedf32b,7,29.0,556.0,1.0
d86fd00cd5b32ec3e907f777c903946d,20,57.0,954.0,4.0
cd0bf8ee681bbc1c130feb539e3b9b12,,,,
e7f5294df6f1310b032e511b5741ab14,2,52.0,2515.0,1.0
f41738ca96718232a4149974f250adf8,6,56.0,646.0,1.0
a24a244afefb5b867f337dff16ced867,71,38.0,487.0,2.0
05e3c170485768e8b09fe651ce0e9638,6,50.0,1342.0,3.0
c32a626a5692ff50e4985d36f794de06,,,,
a71594d0d986a30359e207762a530b23,6,49.0,600.0,2.0
39d8c70342149beb38b767afcd294bd5,29,50.0,295.0,1.0
7637170f6da65623475d6a66fe918488,20,37.0,2457.0,1.0
3c6c1ac8c36ff45b1a493a44e823da6f,6,58.0,1969.0,2.0
0d54dd65a38298bfc08a4667ce8c036b,36,45.0,224.0,1.0
0b4f14f5e3b3db0e21101977726d114f,6,51.0,582.0,2.0
8b96162d9b021912f178ef22b718807d,40,36.0,940.0,2.0
aef0c7dd9e3fed9b2f673d41599e5320,2,52.0,1224.0,2.0
d945c522a0d2266d45bcdd91c6acfc0f,14,56.0,1545.0,2.0
c186017ecfc48cecd47bbd2029248294,17,44.0,586.0,3.0
454907286aa61d6216a8e8f22df5fa5b,32,57.0,404.0,2.0
b5d666886ea00b4d9b34da06dee0a480,28,54.0,228.0,1.0
e4d1c524dd620c0bc7a39d5f0edfbb6e,17,41.0,198.0,1.0
b9237c14bd26a394d9fda023185013b2,12,56.0,1161.0,1.0
dc71b44b125bdd18236fb33d1e658dd7,6,56.0,2028.0,3.0
e46fa95b09556600a6a5e459bd31247e,32,44.0,284.0,12.0
a0b24236c8ce7e0c6264c51ecbb31a27,38,49.0,276.0,12.0
7a2c16478ff3f0ea9c20eb2820f99a5e,73,55.0,1658.0,3.0
64b2117fbf83784acd09fc8a2d3285de,73,59.0,1250.0,1.0
2e439dafa5f87a9547581532380fdac8,73,60.0,1541.0,1.0
3c829f7c4231074c307eeb3f29e4bbae,11,55.0,998.0,3.0
0865dc675638645e1ab5311e30c115bc,18,46.0,726.0,3.0
3bada7ee8d17304d31ee71ba6dc5ef4b,15,56.0,3354.0,4.0
56ea34084f28c03a4b062597771ee913,71,54.0,1399.0,1.0
32e6abf3d05515011148d51190d4e52d,38,61.0,212.0,1.0
b23591dde746f32fe6a7beb5bfb10d43,7,46.0,803.0,1.0
de6eb9cb69595d540dfb0cd550945da1,69,55.0,1392.0,1.0
338c4e72bb1ff7676ce83ded7d97b96d,17,52.0,497.0,1.0
b350f529a1d6288f927da7404eace130,28,50.0,171.0,1.0
0068ff5c495f269a0bc993c04b819587,41,54.0,1162.0,1.0
823cc44ad21d4fe31474a454157d7294,69,54.0,1241.0,5.0
b57f2ad4f174ce23a62cf0737b524fe6,69,43.0,1440.0,1.0
a7ff14e98fa64671a79dc0bc4a074ab7,7,21.0,1000.0,1.0
28cf7d57418923ffea326d9a6c3fc3c9,19,49.0,733.0,3.0
e9ac5036846acfeeb3093b17aa7dc582,65,50.0,749.0,1.0
38824c220166d3cd562cbde84fb20fe3,7,45.0,802.0,1.0
f1041177a81913a977431a99e3c2f792,35,40.0,549.0,1.0
241af2fdc24c51556b297cbcad5b050c,17,60.0,1177.0,3.0
b2515674c031b965a10d8c64a12c0e49,6,54.0,220.0,2.0
0fff2e94bd1a406456cc6c4b3e5d860a,66,38.0,2030.0,2.0
3454dd69a13a05bdb46eeca26be90d3b,71,59.0,119.0,3.0
e69a96da8febce3f885171f0c4344f6d,15,53.0,310.0,1.0
a0bfeca32b5c9d5669f092eaa771e3dc,37,51.0,439.0,3.0
200019b8c4a45d0176125a6debefa981,28,64.0,702.0,1.0
c414d23f5a3c7bad20cd0877f0094337,50,48.0,489.0,2.0
407328452ac1c5b3b89d674ed86bcb86,18,59.0,255.0,2.0
2a90cfd40b93450b0b60f834e4e117ca,28,51.0,487.0,1.0
da474486a3519b0cba9dea8ad97af3e2,,,,
0fd131aa3fe487c108b5aa8c064c303e,60,58.0,134.0,1.0
d79973145c9e6bb11c5fd03e82e63f7c,71,51.0,372.0,2.0
998a24c22b110334928b02a2bd2eae20,36,39.0,278.0,1.0
1d3a303a022cc414062855103cbbe085,36,32.0,1064.0,5.0
019b255120e4316f4515d74f97d74310,71,34.0,426.0,4.0
5f9ec7e00f538cc13f33d649f0e12c7b,7,45.0,1886.0,1.0
c280f6bf4ffb6207c51e9a5a361f3cd6,33,41.0,552.0,2.0
9eefd558bf201d0aedf35608edc35456,28,55.0,166.0,1.0
90e3d6074557ee8deb7f383ce1a13d3d,38,52.0,819.0,4.0
85cad59ff2a8444154ac25f0f2a1b32f,12,51.0,2959.0,4.0
c73fb3aa5e93eae6867c9a2e75027a29,33,53.0,500.0,2.0
e6315753d8d788a16a457c5f8a59156c,29,60.0,460.0,4.0
fe15716e113962806a5de3eb0cd17f2b,28,41.0,208.0,2.0
a44de6ed8c31a1a9b576df076d70248f,33,52.0,219.0,1.0
af6d0f6a6ed497cb04a7683fe3e73bd7,67,49.0,527.0,4.0
fcd91a5b34c13e2134671e842e63e00c,50,41.0,1071.0,1.0
ae050800cb3e5b98c2fcda77e6c93242,18,59.0,348.0,2.0
474f4a4374fcfb8c42a1e9b0d76a76ff,69,28.0,663.0,1.0
69d347f56f43590ec42c7b8c1dfb36d9,69,50.0,1212.0,5.0
6253238e93f2bfc324ae728f68e1fe80,69,57.0,1156.0,1.0
6bf0cbba886f91bfd31c77a1d1721699,38,51.0,1015.0,1.0
ebd2bfdf5f55499fd324862a67322776,73,42.0,878.0,2.0
dc0f331687a79ca656b6b5af19067eea,33,62.0,621.0,1.0
c3bbe15206d1880cedc7bd791c72a1a8,2,59.0,1238.0,5.0
ef24ccf7f99c0ccfab59af14aa2ba817,29,37.0,610.0,1.0
f1dd6986e9e6611db7b708aaf2d80346,18,52.0,446.0,1.0
be322e71596931f5d23771f64ec386a6,65,46.0,499.0,1.0
893e68400ae867459b491bcdb97114b2,28,44.0,331.0,1.0
d38cc8ee47d8d79d10ef6aa884e3493f,19,47.0,1392.0,1.0
d4e6c7710013f35a73d45e9769cc5a32,69,61.0,211.0,4.0
e3fbb2ab700a9acaa258e24f73b7631e,71,60.0,1118.0,6.0
3de23ba1e20e8a358a5ac7c041785568,73,59.0,633.0,5.0
53871ff53ff79fb1fc7e6b160f11dc40,69,29.0,347.0,1.0
7f0422448d80ed35ae329d8729e9bc4b,7,51.0,1918.0,1.0
33db4b865ea46d12dde67d8eced39e6c,10,59.0,3492.0,3.0
c840045474c6dbe021bad5bc36e62c12,11,22.0,663.0,1.0
9b9a0c1bfe5e1033f1197b1afce90df2,38,42.0,356.0,4.0
efcb2c107f55d1a8dd06efa56b8557e1,17,60.0,481.0,4.0
